ECO,In_analysis,Short_name,Sharp_with_white,Sharp_with_black,comment
A00,N,"Oddities (Sokolsky, Grab etc.)",N,N,
A01,Y,Larsen,Y,N,
A02,Y,Bird's opening / From (f4 e5),Y,Y,
A03,Y,Bird's opening /(f4 d5),Y,N,
A04,Y,Reti,N,N,
A05,Y,Reti,N,N,
A06,Y,Reti,N,N,
A07,Y,Reti,N,N,
A08,Y,Reti,N,N,
A09,Y,Reti,N,N,
A10,Y,English,N,N,
A11,Y,English,N,N,
A12,Y,English,N,N,
A13,Y,English,N,N,
A14,Y,English,N,N,
A15,Y,English,N,N,
A16,Y,English,N,N,
A17,Y,English,N,N,
A18,Y,English,N,N,
A19,Y,English,N,N,
A20,Y,English,N,N,
A21,Y,English,N,N,
A22,Y,English,N,N,
A23,Y,English,N,N,
A24,Y,English,N,N,
A25,Y,English,N,N,
A26,Y,English,N,N,
A27,Y,English,N,N,
A28,Y,English,N,N,
A29,Y,English,N,N,
A30,Y,English,N,N,
A31,Y,English,N,N,
A32,Y,English,N,N,
A33,Y,English,N,N,
A34,Y,English,N,N,
A35,Y,English,N,N,
A36,Y,English,N,N,
A37,Y,English,N,N,
A38,Y,English,N,N,
A39,Y,English,N,N,
A40,Y,Queen's pawn,N,Y,
A41,Y,Queen's pawn,N,Y,
A42,Y,"Modern defence, Averbakh",N,Y,
A43,Y,Old Benoni,N,Y,
A44,Y,Old Benoni,N,Y,
A45,Y,Queen's pawn,Y,N,
A46,Y,Queen's pawn,N,N,
A47,Y,Queen's indian,N,N,
A48,Y,King's indian (w/ c4),N,Y,
A50,Y,Queen's pawn,N,Y,
A51,Y,Budapest defence,N,Y,
A52,Y,Budapest defence,N,Y,
A53,Y,Old Indian,N,Y,
A54,Y,Old Indian,N,Y,
A55,Y,Old Indian,N,Y,
A56,Y,Benoni,N,Y,
A57,Y,Benko Gambit,N,Y,
A58,Y,Benko Gambit,N,Y,
A59,Y,Benko Gambit,N,Y,
A60,Y,Benoni,N,Y,
A61,Y,Benoni,N,Y,
A62,Y,Benoni,N,Y,
A63,Y,Benoni,N,Y,
A64,Y,Benoni,N,Y,
A65,Y,Benoni,N,Y,
A66,Y,Benoni,N,Y,
A67,Y,Benoni,N,Y,
A68,Y,Benoni,N,Y,
A69,Y,Benoni,N,Y,
A70,Y,Benoni,N,Y,
A71,Y,Benoni,N,Y,
A72,Y,Benoni,N,Y,
A73,Y,Benoni,N,Y,
A74,Y,Benoni,N,Y,
A75,Y,Benoni,N,Y,
A76,Y,Benoni,N,Y,
A77,Y,Benoni,N,Y,
A78,Y,Benoni,N,Y,
A79,Y,Benoni,N,Y,
A80,Y,Dutch,Y,Y,
A81,Y,Dutch,N,Y,
A82,Y,Dutch,Y,Y,
A83,Y,Dutch,Y,Y,
A84,Y,Dutch,N,Y,
A85,Y,Dutch,N,Y,
A86,Y,Dutch,N,Y,
A87,Y,Dutch,N,Y,
A88,Y,Dutch,N,Y,
A89,Y,Dutch,N,Y,
A90,Y,Dutch,N,N,
A91,Y,Dutch,N,N,
A92,Y,Dutch,N,N,
A93,Y,Dutch,N,N,
A94,Y,Dutch,N,N,
A95,Y,Dutch,N,N,
A96,Y,Dutch,N,N,
A97,Y,Dutch,N,N,
A98,Y,Dutch,N,N,
A99,Y,Dutch,N,N,
B00,N,Semi-open oddities,N,N,
B01,Y,Scandinavian,Y,Y,
B02,Y,Alekhine,Y,Y,
B03,Y,Alekhine,Y,Y,
B04,Y,Alekhine,Y,Y,
B05,Y,Alekhine,Y,Y,
B06,Y,Modern defence,Y,Y,
B07,Y,Pirc,Y,Y,
B08,Y,Pirc,Y,Y,
B09,Y,Pirc,Y,Y,
B10,Y,Caro-Kann,N,N,
B11,Y,Caro-Kann,N,N,
B12,Y,Caro-Kann,N,N,
B13,Y,Caro-Kann,N,N,
B14,Y,Caro-Kann,N,N,
B15,Y,Caro-Kann,N,N,"not entirely true - mixed, but mainly positional"
B16,Y,Caro-Kann,N,Y,
B17,Y,Caro-Kann,N,N,
B18,Y,Caro-Kann,N,N,
B19,Y,Caro-Kann,N,N,
B20,Y,Sicilian,Y,Y,
B21,Y,Sicilian,Y,Y,
B22,Y,Sicilian Alapin,N,Y,
B23,Y,Sicilian,Y,Y,
B24,Y,Sicilian,N,Y,
B25,Y,Sicilian,N,Y,
B26,Y,Sicilian,Y,Y,
B27,Y,Sicilian,Y,Y,
B28,Y,Sicilian,Y,Y,
B29,Y,Sicilian,Y,Y,
B30,Y,Sicilian Rossolimo,N,Y,
B31,Y,Sicilian Rossolimo,N,Y,
B32,Y,Sicilian,Y,Y,
B33,Y,Sicilian,Y,Y,
B34,Y,Sicilian,Y,Y,
B35,Y,Sicilian,Y,Y,
B36,Y,Sicilian,Y,Y,
B37,Y,Sicilian,Y,Y,
B38,Y,Sicilian,Y,Y,
B39,Y,Sicilian,Y,Y,
B40,Y,Sicilian,Y,Y,
B41,Y,Sicilian,Y,Y,
B42,Y,Sicilian,Y,Y,
B43,Y,Sicilian,Y,Y,
B44,Y,Sicilian,Y,Y,
B45,Y,Sicilian,Y,Y,
B46,Y,Sicilian,Y,Y,
B47,Y,Sicilian,Y,Y,
B48,Y,Sicilian,Y,Y,
B49,Y,Sicilian,Y,Y,
B50,Y,Sicilian,Y,Y,
B51,Y,Sicilian,Y,Y,
B52,Y,Sicilian,Y,Y,
B53,Y,Sicilian,Y,Y,
B54,Y,Sicilian,Y,Y,
B55,Y,Sicilian,Y,Y,
B56,Y,Sicilian,Y,Y,
B57,Y,Sicilian,Y,Y,
B58,Y,Sicilian,Y,Y,
B59,Y,Sicilian,Y,Y,
B60,Y,Sicilian,Y,Y,
B61,Y,Sicilian,Y,Y,
B62,Y,Sicilian,Y,Y,
B63,Y,Sicilian,Y,Y,
B64,Y,Sicilian,Y,Y,
B65,Y,Sicilian,Y,Y,
B66,Y,Sicilian,Y,Y,
B67,Y,Sicilian,Y,Y,
B68,Y,Sicilian,Y,Y,
B69,Y,Sicilian,Y,Y,
B70,Y,Sicilian,Y,Y,
B71,Y,Sicilian,Y,Y,
B72,Y,Sicilian,Y,Y,
B73,Y,Sicilian,Y,Y,
B74,Y,Sicilian,Y,Y,
B75,Y,Sicilian,Y,Y,
B76,Y,Sicilian,Y,Y,
B77,Y,Sicilian,Y,Y,
B78,Y,Sicilian,Y,Y,
B79,Y,Sicilian,Y,Y,
B80,Y,Sicilian,Y,Y,
B81,Y,Sicilian,Y,Y,
B82,Y,Sicilian,Y,Y,
B83,Y,Sicilian,Y,Y,
B84,Y,Sicilian,Y,Y,
B85,Y,Sicilian,Y,Y,
B86,Y,Sicilian,Y,Y,
B87,Y,Sicilian,Y,Y,
B88,Y,Sicilian,Y,Y,
B89,Y,Sicilian,Y,Y,
B90,Y,Sicilian,Y,Y,
B91,Y,Sicilian,Y,Y,
B92,Y,Sicilian,Y,Y,
B93,Y,Sicilian,Y,Y,
B94,Y,Sicilian,Y,Y,
B95,Y,Sicilian,Y,Y,
B96,Y,Sicilian,Y,Y,
B97,Y,Sicilian,Y,Y,
B98,Y,Sicilian,Y,Y,
B99,Y,Sicilian,Y,Y,
C00,Y,French,N,N,
C01,Y,French,N,N,
C02,Y,French,N,N,
C03,Y,French,N,N,
C04,Y,French,N,N,
C05,Y,French,N,N,
C06,Y,French,N,N,
C07,Y,French,N,N,
C08,Y,French,N,N,
C09,Y,French,N,N,
C10,Y,French,N,N,
C11,Y,French,N,N,debatable
C12,Y,French,Y,Y,
C13,Y,French,Y,N,debatable
C14,Y,French,Y,N,debatable
C15,Y,French,Y,N,
C16,Y,French,Y,N,
C17,Y,French,Y,N,
C18,Y,French,Y,N,
C19,Y,French,Y,N,
C20,N,e4 e5 oddities,N,N,
C21,Y,Centre gambit,Y,N,
C22,Y,Centre gambit,Y,N,
C23,Y,Bishop opening,Y,Y,changed over time
C24,Y,Bishop opening,Y,N,changed over time
C25,Y,Vienna game,Y,Y,
C26,Y,Vienna game,Y,N,
C27,Y,Vienna game,Y,Y,
C28,Y,Vienna game,Y,N,
C29,Y,Vienna game,Y,Y,gambit from black's side too
C30,Y,King's gambit,Y,Y,
C31,Y,King's gambit,Y,N,
C32,Y,King's gambit,Y,N,
C33,Y,King's gambit,Y,Y,
C34,Y,King's gambit,Y,Y,
C35,Y,King's gambit,Y,Y,
C36,Y,King's gambit,Y,N,
C37,Y,King's gambit,Y,Y,
C38,Y,King's gambit,Y,Y,
C39,Y,King's gambit,Y,Y,
C40,Y,King's knight,N,Y,Sharp extremities from black
C41,Y,Philidor,Y,N,too narrow
C42,Y,Petrov,Y,N,includes some sharp lines from white
C43,Y,Petrov,N,N,too narrow
C44,Y,King's pawn game,Y,N,mostly sharp with white
C45,Y,Scotch,Y,Y,
C46,Y,Three knights,N,Y,
C47,Y,Four knights,N,N,
C48,Y,Four knights,N,N,
C49,Y,Four knights,N,N,
C50,Y,King's pawn game,N,N,
C51,Y,Evans gambit,Y,N,
C52,Y,Evans gambit,Y,N,debatable for black
C53,Y,Giuoco Piano,N,N,
C54,Y,Giuoco Piano,N,N,
C55,Y,Two knights,Y,Y,"most of the white variations are sharp, can't opt out"
C56,Y,Two knights,Y,Y,
C57,Y,Two knights,Y,Y,
C58,Y,Two knights,Y,Y,
C59,Y,Two knights,Y,Y,
C60,Y,Ruy Lopez,N,Y,black's oddities
C61,Y,Ruy Lopez,N,N,
C62,Y,Ruy Lopez,N,N,
C63,Y,Ruy Lopez,N,Y,
C64,Y,Ruy Lopez,N,N,
C65,Y,Ruy Lopez,N,N,
C66,Y,Ruy Lopez,N,N,
C67,Y,Ruy Lopez,N,N,
C68,Y,Ruy Lopez,N,N,
C69,Y,Ruy Lopez,N,N,
C70,Y,Ruy Lopez,N,Y,"black's oddities, tries to divert"
C71,Y,Ruy Lopez,N,N,
C72,Y,Ruy Lopez,N,N,
C73,Y,Ruy Lopez,N,N,
C74,Y,Ruy Lopez,N,N,
C75,Y,Ruy Lopez,N,N,
C76,Y,Ruy Lopez,N,N,
C77,Y,Ruy Lopez,N,N,
C78,Y,Ruy Lopez,N,N,
C79,Y,Ruy Lopez,N,N,
C80,Y,Ruy Lopez,N,N,
C81,Y,Ruy Lopez,N,N,
C82,Y,Ruy Lopez,N,N,
C83,Y,Ruy Lopez,N,N,
C84,Y,Ruy Lopez,N,N,
C85,Y,Ruy Lopez,N,N,
C86,Y,Ruy Lopez,N,N,
C87,Y,Ruy Lopez,N,N,
C88,Y,Ruy Lopez,N,N,
C89,Y,Ruy Lopez,N,Y,"Marshall, used to be sharp"
C90,Y,Ruy Lopez,N,N,
C91,Y,Ruy Lopez,N,N,
C92,Y,Ruy Lopez,N,N,
C93,Y,Ruy Lopez,N,N,
C94,Y,Ruy Lopez,N,N,
C95,Y,Ruy Lopez,N,N,
C96,Y,Ruy Lopez,N,N,
C97,Y,Ruy Lopez,N,N,
C98,Y,Ruy Lopez,N,N,
C99,Y,Ruy Lopez,N,N,
D00,Y,Queen's pawn,N,N,mostly not sharp
D01,Y,Richter-Veresov,Y,N,
D02,Y,Queen's pawn,N,N,
D03,Y,Queen's pawn,N,N,
D04,Y,Queen's pawn,N,N,
D05,Y,Queen's pawn,N,N,
D06,Y,Queen's gambit,N,Y,
D07,Y,Queen's gambit,N,Y,
D08,Y,Queen's gambit,Y,Y,
D09,Y,Queen's gambit,N,Y,
D10,Y,Queen's gambit,N,N,Slav
D11,Y,Queen's gambit,N,N,Slav
D12,Y,Queen's gambit,N,N,Slav
D13,Y,Queen's gambit,N,N,Slav
D14,Y,Queen's gambit,N,N,Slav
D15,Y,Queen's gambit,Y,Y,Slav
D16,Y,Queen's gambit,Y,Y,Slav
D17,Y,Queen's gambit,Y,Y,Slav
D18,Y,Queen's gambit,N,N,Slav
D19,Y,Queen's gambit,N,N,Slav
D20,Y,Queen's gambit,Y,Y,QG accepted
D21,Y,Queen's gambit,Y,Y,QG accepted
D22,Y,Queen's gambit,N,Y,QG accepted
D23,Y,Queen's gambit,Y,Y,QG accepted
D24,Y,Queen's gambit,Y,Y,QG accepted
D25,Y,Queen's gambit,N,Y,QG accepted
D26,Y,Queen's gambit,Y,Y,QG accepted
D27,Y,Queen's gambit,N,N,QG accepted
D28,Y,Queen's gambit,N,N,QG accepted
D29,Y,Queen's gambit,N,N,QG accepted
D30,Y,Queen's gambit,N,N,
D31,Y,Queen's gambit,Y,Y,Sem-slav
D32,Y,Queen's gambit,N,N,Tarrasch
D33,Y,Queen's gambit,N,N,Tarrasch
D34,Y,Queen's gambit,N,N,Tarrasch
D35,Y,Queen's gambit,N,N,
D36,Y,Queen's gambit,N,N,
D37,Y,Queen's gambit,N,N,
D38,Y,Queen's gambit,N,Y,
D39,Y,Queen's gambit,Y,Y,
D40,Y,Queen's gambit,N,N,
D41,Y,Queen's gambit,N,N,
D42,Y,Queen's gambit,N,N,
D43,Y,Queen's gambit,Y,Y,
D44,Y,Queen's gambit,Y,Y,semi-slav
D45,Y,Queen's gambit,Y,Y,semi-slav
D46,Y,Queen's gambit,Y,Y,semi-slav
D47,Y,Queen's gambit,Y,Y,semi-slav
D48,Y,Queen's gambit,Y,Y,semi-slav
D49,Y,Queen's gambit,Y,Y,semi-slav
D50,Y,Queen's gambit,N,N,
D51,Y,Queen's gambit,N,N,
D52,Y,Queen's gambit,N,N,
D53,Y,Queen's gambit,N,N,
D54,Y,Queen's gambit,N,N,
D55,Y,Queen's gambit,N,N,
D56,Y,Queen's gambit,N,N,
D57,Y,Queen's gambit,N,N,
D58,Y,Queen's gambit,N,N,
D59,Y,Queen's gambit,N,N,
D60,Y,Queen's gambit,N,N,
D61,Y,Queen's gambit,N,N,
D62,Y,Queen's gambit,N,N,
D63,Y,Queen's gambit,N,N,
D64,Y,Queen's gambit,N,N,
D65,Y,Queen's gambit,N,N,
D66,Y,Queen's gambit,N,N,
D67,Y,Queen's gambit,N,N,
D68,Y,Queen's gambit,N,N,
D69,Y,Queen's gambit,N,N,
D70,Y,Neo-grunfeld,Y,Y,
D71,Y,Neo-grunfeld,Y,Y,
D72,Y,Neo-grunfeld,Y,Y,
D73,Y,Neo-grunfeld,N,Y,
D74,Y,Neo-grunfeld,N,Y,
D75,Y,Neo-grunfeld,N,Y,
D76,Y,Neo-grunfeld,N,Y,
D77,Y,Neo-grunfeld,N,Y,
D78,Y,Neo-grunfeld,N,Y,
D79,Y,Neo-grunfeld,N,Y,
D80,Y,Gruenfeld,Y,Y,
D81,Y,Gruenfeld,Y,Y,
D82,Y,Gruenfeld,Y,Y,
D83,Y,Gruenfeld,Y,Y,
D84,Y,Gruenfeld,Y,Y,
D85,Y,Gruenfeld,Y,Y,
D86,Y,Gruenfeld,Y,Y,
D87,Y,Gruenfeld,Y,Y,
D88,Y,Gruenfeld,Y,Y,
D89,Y,Gruenfeld,Y,Y,
D90,Y,Gruenfeld,Y,Y,
D91,Y,Gruenfeld,N,Y,
D92,Y,Gruenfeld,N,Y,
D93,Y,Gruenfeld,N,Y,
D94,Y,Gruenfeld,N,Y,
D95,Y,Gruenfeld,N,Y,
D96,Y,Gruenfeld,Y,Y,
D97,Y,Gruenfeld,Y,Y,
D98,Y,Gruenfeld,Y,Y,
D99,Y,Gruenfeld,Y,Y,
E00,Y,Queen's pawn game,N,N,
E01,Y,Catalan,N,N,
E02,Y,Catalan,N,N,
E03,Y,Catalan,N,N,
E04,Y,Catalan,N,N,
E05,Y,Catalan,N,N,
E06,Y,Catalan,N,N,
E07,Y,Catalan,N,N,
E08,Y,Catalan,N,N,
E09,Y,Catalan,N,N,
E10,Y,Queen's pawn game,N,Y,
E11,Y,Bogo-Indian,N,N,
E12,Y,Queen's Indian,N,N,
E13,Y,Queen's Indian,N,N,
E14,Y,Queen's Indian,N,N,
E15,Y,Queen's Indian,N,N,
E16,Y,Queen's Indian,N,N,
E17,Y,Queen's Indian,N,N,
E18,Y,Queen's Indian,N,N,
E19,Y,Queen's Indian,N,N,
E20,Y,Nimzo Indian,Y,N,
E21,Y,Nimzo Indian,Y,Y,
E22,Y,Nimzo Indian,N,N,
E23,Y,Nimzo Indian,N,N,
E24,Y,Nimzo Indian,N,N,Samisch
E25,Y,Nimzo Indian,Y,N,Samisch
E26,Y,Nimzo Indian,Y,N,Samisch
E27,Y,Nimzo Indian,Y,N,Samisch
E28,Y,Nimzo Indian,Y,N,Samisch
E29,Y,Nimzo Indian,Y,N,Samisch
E30,Y,Nimzo Indian,N,N,
E31,Y,Nimzo Indian,Y,N,
E32,Y,Nimzo Indian,N,Y,
E33,Y,Nimzo Indian,N,N,
E34,Y,Nimzo Indian,N,N,
E35,Y,Nimzo Indian,Y,Y,
E36,Y,Nimzo Indian,N,N,
E37,Y,Nimzo Indian,N,N,
E38,Y,Nimzo Indian,N,N,
E39,Y,Nimzo Indian,N,N,
E40,Y,Nimzo Indian,N,N,
E41,Y,Nimzo Indian,N,N,
E42,Y,Nimzo Indian,N,N,
E43,Y,Nimzo Indian,N,N,
E44,Y,Nimzo Indian,N,N,
E45,Y,Nimzo Indian,N,N,
E46,Y,Nimzo Indian,N,N,
E47,Y,Nimzo Indian,N,N,
E48,Y,Nimzo Indian,N,N,
E49,Y,Nimzo Indian,N,N,
E50,Y,Nimzo Indian,N,N,
E51,Y,Nimzo Indian,N,N,
E52,Y,Nimzo Indian,N,N,
E53,Y,Nimzo Indian,N,N,
E54,Y,Nimzo Indian,N,N,
E55,Y,Nimzo Indian,N,N,
E56,Y,Nimzo Indian,N,N,
E57,Y,Nimzo Indian,N,N,
E58,Y,Nimzo Indian,N,N,
E59,Y,Nimzo Indian,N,N,
E60,Y,King's Indian,N,Y,
E61,Y,King's Indian,Y,Y,
E62,Y,King's Indian,N,Y,
E63,Y,King's Indian,N,Y,
E64,Y,King's Indian,N,Y,
E65,Y,King's Indian,N,Y,
E66,Y,King's Indian,N,Y,
E67,Y,King's Indian,N,Y,
E68,Y,King's Indian,N,Y,
E69,Y,King's Indian,N,Y,
E70,Y,King's Indian,Y,Y,
E71,Y,King's Indian,Y,Y,
E72,Y,King's Indian,N,Y,
E73,Y,King's Indian,Y,Y,
E74,Y,King's Indian,Y,Y,
E75,Y,King's Indian,Y,Y,
E76,Y,King's Indian,Y,Y,
E77,Y,King's Indian,Y,Y,
E78,Y,King's Indian,Y,Y,
E79,Y,King's Indian,Y,Y,
E80,Y,King's Indian,Y,Y,
E81,Y,King's Indian,Y,Y,
E82,Y,King's Indian,Y,Y,
E83,Y,King's Indian,Y,Y,
E84,Y,King's Indian,Y,Y,
E85,Y,King's Indian,Y,Y,
E86,Y,King's Indian,Y,Y,
E87,Y,King's Indian,Y,Y,
E88,Y,King's Indian,Y,Y,
E89,Y,King's Indian,Y,Y,
E90,Y,King's Indian,Y,Y,
E91,Y,King's Indian,Y,Y,
E92,Y,King's Indian,Y,Y,
E93,Y,King's Indian,Y,Y,
E94,Y,King's Indian,Y,Y,
E95,Y,King's Indian,Y,Y,
E96,Y,King's Indian,Y,Y,
E97,Y,King's Indian,Y,Y,
E98,Y,King's Indian,Y,Y,
E99,Y,King's Indian,Y,Y,